iter	Logloss
0	0.6706829961
1	0.6495262089
2	0.6290209646
3	0.6122429543
4	0.5963065406
5	0.5810212643
6	0.5665749896
7	0.5541301414
8	0.5412601075
9	0.5309590936
10	0.5210802744
11	0.511841913
12	0.5025183799
13	0.4942564849
14	0.4870981147
15	0.4798448721
16	0.4735785393
17	0.4674299029
18	0.4618225561
19	0.4564328759
20	0.45171655
21	0.4474286297
22	0.443395952
23	0.4393479036
24	0.436029445
25	0.4328530474
26	0.4294515875
27	0.4265509176
28	0.4236451514
29	0.421060858
30	0.4189269302
31	0.4169168417
32	0.4151925967
33	0.4130070855
34	0.4112822893
35	0.4095206572
36	0.4078990025
37	0.4065566707
38	0.4048465499
39	0.4035156712
40	0.4024704466
41	0.401042047
42	0.3998439714
43	0.3986491789
44	0.3978631055
45	0.3968520042
46	0.395800354
47	0.3949348185
48	0.394351036
49	0.3937473888
50	0.3932668892
51	0.3926028401
52	0.3920858226
53	0.3914753137
54	0.3908281023
55	0.3902801544
56	0.3897497001
57	0.3893162459
58	0.38895299
59	0.3883571025
60	0.3878993895
61	0.3874340537
62	0.3869483114
63	0.3864753475
64	0.3861027847
65	0.3856908972
66	0.3852541587
67	0.384892019
68	0.3845936618
69	0.3843870968
70	0.3841317853
71	0.3839336742
72	0.3836022087
73	0.3833571865
74	0.3830354226
75	0.3828529912
76	0.3826598437
77	0.3825247032
78	0.3823421835
79	0.3820525912
80	0.3818584547
81	0.3816048957
82	0.3814706219
83	0.3812790315
84	0.3811074777
85	0.3809590797
86	0.380805963
87	0.3806770061
88	0.3804917432
89	0.3802807769
90	0.3801078601
91	0.3799809736
92	0.3798878363
93	0.3794586367
94	0.3792884317
95	0.3788990907
96	0.3787803791
97	0.3786912352
98	0.3785793323
99	0.3784706872
100	0.3780966603
101	0.3777326911
102	0.3776295437
103	0.3775495059
104	0.3774919283
105	0.3771554388
106	0.3768315713
107	0.3766852889
108	0.3763983976
109	0.3762830031
110	0.3762017158
111	0.3760802323
112	0.3760196064
113	0.3759539296
114	0.3758633072
115	0.375759045
116	0.3756656881
117	0.3756018235
118	0.3755463507
119	0.3754781466
120	0.3754170526
121	0.375328989
122	0.3752741374
123	0.3751865104
124	0.3751178808
125	0.3750623622
126	0.3750103874
127	0.3749330407
128	0.374716313
129	0.3746653152
130	0.3746150899
131	0.3745295827
132	0.3744793241
133	0.3744083898
134	0.3741418444
135	0.3740425869
136	0.3738440994
137	0.3737489537
138	0.373698095
139	0.3736088568
140	0.3735630156
141	0.3735075044
142	0.3733357504
143	0.3730656538
144	0.3730336379
145	0.3727716046
146	0.3727289692
147	0.3726934573
148	0.3726161733
149	0.3725718161
150	0.3723110551
151	0.3722507098
152	0.3722213702
153	0.3721577722
154	0.3721104581
155	0.3720530301
156	0.3720230877
157	0.3719651105
158	0.3719185725
159	0.3718648271
160	0.3717893999
161	0.3717300441
162	0.3716942384
163	0.3716077254
164	0.3713971128
165	0.3713682558
166	0.3712995258
167	0.3712416061
168	0.3711822052
169	0.3711461059
170	0.3710977085
171	0.3710577985
172	0.3708895635
173	0.3708177029
174	0.3707807159
175	0.3707325862
176	0.3704802405
177	0.3704429856
178	0.370392001
179	0.3703493946
180	0.3701269767
181	0.3699915874
182	0.3699668183
183	0.3698909217
184	0.3698624167
185	0.3698065384
186	0.3696715071
187	0.3696376539
188	0.3696057663
189	0.3695599385
190	0.3695170735
191	0.3694658331
192	0.3694155003
193	0.3693600819
194	0.3692954635
195	0.3692505679
196	0.369221258
197	0.3691750936
198	0.3691214527
199	0.3690912803
200	0.3690591244
201	0.3690027402
202	0.368975655
203	0.3689371618
204	0.3687680048
205	0.3687253481
206	0.3686750855
207	0.368658433
208	0.3685202525
209	0.3684887637
210	0.36844662
211	0.368399895
212	0.3683603665
213	0.3682006025
214	0.3681538079
215	0.3679711969
216	0.3679360606
217	0.3677721975
218	0.3676221367
219	0.3675540743
220	0.3675252214
221	0.3674921782
222	0.3674563851
223	0.3674069201
224	0.3672512525
225	0.3672087655
226	0.3671708103
227	0.3668211997
228	0.3667822669
229	0.3667345478
230	0.3667055715
231	0.3666730375
232	0.3666409179
233	0.366598661
234	0.3665642289
235	0.3664539182
236	0.3664281722
237	0.3663128874
238	0.3662906707
239	0.3662532751
240	0.3662330582
241	0.3661862202
242	0.366156477
243	0.3661256343
244	0.3660915488
245	0.3660752199
246	0.3660497959
247	0.3660263128
248	0.3660028301
249	0.3659744832
250	0.3659426742
251	0.3658917551
252	0.3658553018
253	0.3658386521
254	0.365815902
255	0.3657771816
256	0.3657555285
257	0.3657231727
258	0.3655957932
259	0.3655592198
260	0.3655169616
261	0.3654728148
262	0.3654489536
263	0.3654191252
264	0.3653936803
265	0.3653624415
266	0.3653178316
267	0.3652178692
268	0.3651829226
269	0.3651612974
270	0.3651255888
271	0.3650823111
272	0.3650595673
273	0.3650211904
274	0.3649999999
275	0.3649739563
276	0.3649451771
277	0.3649233725
278	0.3648840954
279	0.3648472909
280	0.3648165409
281	0.3647970367
282	0.3647724151
283	0.3647323633
284	0.3646879327
285	0.3645997803
286	0.3645718044
287	0.3645376905
288	0.3644495686
289	0.3643447535
